Episode no = 710; won: False; Q(s,a) = 56.12977232315334; reward = -431.0; and epsilon = 0.9053333333333333, win percentage = 0.0, 2024-05-06 07:10:37
Episode no = 720; won: False; Q(s,a) = 55.61857144539695; reward = -393.0; and epsilon = 0.904, win percentage = 0.0, 2024-05-06 07:11:05
Episode no = 730; won: False; Q(s,a) = 34.8034357732102; reward = -421.0; and epsilon = 0.9026666666666667, win percentage = 0.0, 2024-05-06 07:11:42
Episode no = 740; won: False; Q(s,a) = nan; reward = -443.0; and epsilon = 0.9013333333333333, win percentage = 0.0, 2024-05-06 07:11:55
Episode no = 750; won: False; Q(s,a) = 49.97351064985146; reward = -447.0; and epsilon = 0.9, win percentage = 0.0, 2024-05-06 07:12:07
Episode no = 760; won: False; Q(s,a) = 52.3430284965516; reward = -438.0; and epsilon = 0.8986666666666667, win percentage = 0.0, 2024-05-06 07:12:27
Episode no = 770; won: False; Q(s,a) = 53.67213207347989; reward = -472.0; and epsilon = 0.8973333333333333, win percentage = 0.0, 2024-05-06 07:12:44
Episode no = 780; won: False; Q(s,a) = 49.01762691161194; reward = -478.0; and epsilon = 0.896, win percentage = 0.0, 2024-05-06 07:13:01
Episode no = 790; won: False; Q(s,a) = 51.5596977788332; reward = -456.0; and epsilon = 0.8946666666666667, win percentage = 0.0, 2024-05-06 07:13:14
Episode no = 800; won: False; Q(s,a) = 54.81677488807947; reward = -491.0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-05-06 07:14:01
Episode no = 810; won: False; Q(s,a) = 58.84128544701288; reward = -485.0; and epsilon = 0.892, win percentage = 0.0, 2024-05-06 07:14:21
Episode no = 820; won: False; Q(s,a) = 59.94443739916555; reward = -482.0; and epsilon = 0.8906666666666667, win percentage = 0.0, 2024-05-06 07:14:35
Episode no = 830; won: False; Q(s,a) = 58.157898466353764; reward = -340.0; and epsilon = 0.8893333333333333, win percentage = 0.0, 2024-05-06 07:14:53
Episode no = 840; won: False; Q(s,a) = 52.701921958064744; reward = -416.0; and epsilon = 0.888, win percentage = 0.0, 2024-05-06 07:15:11
Episode no = 850; won: False; Q(s,a) = 56.79226286461185; reward = -272.0; and epsilon = 0.8866666666666667, win percentage = 0.0, 2024-05-06 07:15:39
Episode no = 860; won: False; Q(s,a) = 60.04642614236467; reward = -375.0; and epsilon = 0.8853333333333333, win percentage = 0.0, 2024-05-06 07:16:19
Episode no = 870; won: False; Q(s,a) = 55.29316762104751; reward = -436.0; and epsilon = 0.884, win percentage = 0.0, 2024-05-06 07:16:34
